,airline_sentiment,tweet_coord
10135,negative,"[38.92102632, -76.9969392]"
10165,negative,"[39.52438256, -74.70144898]"
10195,negative,"[36.24269903, -86.10760197]"
10235,negative,"[25.7789761, -80.1353923]"
10236,negative,"[25.7789509, -80.1353866]"
10240,negative,"[39.05365524, -84.65487604]"
10247,negative,"[39.25956567, -76.70131545]"
10288,negative,"[39.87631844, -75.24302471]"
10305,negative,"[43.74167873, -79.3442243]"
10352,negative,"[34.00912984, -84.37154603]"
10378,negative,"[39.87355987, -75.24730884]"
10392,negative,"[39.87414824, -75.25238981]"
10393,negative,"[39.87414053, -75.25236332]"
10409,negative,"[40.04893741, -75.10344598]"
10414,negative,"[39.87372068, -75.24732898]"
10422,negative,"[35.2190054, -80.9427282]"
10426,negative,"[35.2191669, -80.9435256]"
10432,negative,"[40.04915451, -75.10364317]"
10438,negative,"[41.49092099, -81.71644934]"
10439,negative,"[33.43629607, -111.99894068]"
10440,negative,"[41.49090693, -81.71627307]"
10450,positive,"[41.72221977, -71.44574004]"
10457,negative,"[41.46454996, -81.70961875]"
10462,negative,"[41.46460532, -81.70957793]"
10484,positive,"[39.94624391, -75.17915216]"
10492,negative,"[39.90000449, -75.20693516]"
10519,negative,"[35.2238122, -80.9435393]"
10555,negative,"[34.16721397, -118.3453091]"
10576,negative,"[38.85580899, -77.04174148]"
10588,negative,"[38.90321224, -76.99583548]"
10595,neutral,"[39.9692473, -75.1346431]"
10627,negative,"[38.18285051, -85.74225293]"
10668,neutral,"[42.201792, -88.3376974]"
10681,negative,"[42.2017895, -88.337723]"
10730,negative,"[35.22257093, -80.93941664]"
10824,negative,"[34.16721627, -118.34537339]"
10828,negative,"[40.77265898, -73.86525922]"
10971,negative,"[51.4713252, -0.4674035]"
10995,negative,"[35.2203248, -80.94508344]"
10998,negative,"[38.86402742, -77.04855865]"
11004,negative,"[38.86432211, -77.04913451]"
11029,negative,"[39.8816419, -75.2475867]"
11066,negative,"[39.8744048, -75.24235009]"
11112,negative,"[29.99562368, -90.24376862]"
11113,neutral,"[42.95012208, -87.90085158]"
11118,positive,"[42.95119138, -87.90117857]"
11121,negative,"[29.98442078, -90.25340271]"
11134,negative,"[29.99894707, -90.27229299]"
11141,negative,"[29.98730979, -90.25605983]"
11161,negative,"[40.74609464, -74.00636235]"
11211,positive,"[35.2204278, -80.94281752]"
11277,neutral,"[33.79727578, -117.85043081]"
11288,positive,"[35.22209167, -80.95237732]"
11296,negative,"[35.22476994, -80.93932077]"
11309,negative,"[35.22447828, -80.93940943]"
11323,negative,"[35.22604872, -80.93863381]"
11379,positive,"[35.22123472, -80.93287633]"
11384,positive,"[35.21820752, -80.94527061]"
11397,negative,"[35.210373, -80.9538682]"
11451,negative,"[41.15955496, -81.39767448]"
11454,negative,"[41.16013713, -81.39768211]"
11458,positive,"[41.16012493, -81.39760735]"
11472,negative,"[30.44405028, -84.23614305]"
11478,negative,"[30.44414315, -84.23627649]"
11540,negative,"[35.23185283, -80.96487203]"
11555,negative,"[43.0460116, -84.4795683]"
11556,negative,"[43.0460003, -84.4794566]"
11599,negative,"[35.22287836, -80.94056653]"
11618,negative,"[36.1036159, -115.16564]"
11623,negative,"[35.22363719, -80.94045544]"
11625,negative,"[35.22347122, -80.94043272]"
11673,positive,"[27.96879606, -82.55192621]"
11699,negative,"[25.8801693, -80.14141202]"
11737,negative,"[35.22032317, -80.94508353]"
11753,negative,"[38.8639627, -77.0436015]"
11761,negative,"[38.8687568, -77.035652]"
11784,positive,"[36.08576903, -115.14953095]"
11787,negative,"[40.6488643, -73.7944749]"
11789,negative,"[35.20346242, -80.92218024]"
11805,positive,"[36.08584875, -115.14968355]"
11888,negative,"[35.22643463, -80.93879965]"
11912,positive,"[37.78618135, -122.45742542]"
11936,neutral,"[32.82813261, -97.25115941]"
11956,negative,"[40.69017276, -73.91646118]"
11957,negative,"[40.68994668, -73.91637642]"
11958,negative,"[40.69002464, -73.91638072]"
11960,negative,"[40.68996177, -73.91640136]"
12026,negative,"[34.0213466, -118.45229268]"
12049,negative,"[35.22643463, -80.93879965]"
12073,positive,"[37.78618135, -122.45742542]"
12097,neutral,"[32.82813261, -97.25115941]"
12117,negative,"[40.69017276, -73.91646118]"
12118,negative,"[40.68994668, -73.91637642]"
12119,negative,"[40.69002464, -73.91638072]"
12121,negative,"[40.68996177, -73.91640136]"
12258,negative,"[32.8968169, -97.0618222]"
12260,neutral,"[28.02034806, -82.52234293]"
12269,negative,"[40.78476286, -73.97029561]"
12285,negative,"[27.97575376, -82.53714356]"
12293,positive,"[41.06938783, -73.73394372]"
12321,negative,"[27.97628758, -82.53727303]"
12326,negative,"[39.29951964, -94.71192112]"
12334,neutral,"[39.29381252, -94.71144036]"
12342,positive,"[33.8143379, -116.53572408]"
12356,negative,"[39.29275067, -94.70795218]"
12407,negative,"[42.18424338, -70.92464087]"
12421,negative,"[42.16481023, -70.88929237]"
12541,negative,"[30.32398902, -97.71081198]"
12543,neutral,"[32.91792297, -97.00367737]"
12545,negative,"[32.91792297, -97.00367737]"
12550,negative,"[32.91792297, -97.00367737]"
12561,negative,"[42.01578804, -87.68332344]"
12565,positive,"[32.89959729, -97.03558888]"
12581,negative,"[40.7786084, -73.94979947]"
12582,negative,"[41.98051682, -87.73798602]"
12607,negative,"[40.77382001, -73.87315003]"
12628,neutral,"[39.8893997, -75.219676]"
12632,positive,"[32.9176348, -97.0163282]"
12647,positive,"[41.99335821, -87.91260807]"
12699,negative,"[32.92215312, -96.97563515]"
12711,negative,"[47.6171292, -122.2803409]"
12718,negative,"[41.95627333, -87.87860345]"
12721,negative,"[41.45858699, -81.86780822]"
12730,negative,"[41.45856783, -81.86763782]"
12740,negative,"[41.45862827, -81.86766456]"
12754,negative,"[25.79667815, -80.28050395]"
12777,negative,"[41.45875201, -81.86775899]"
12779,negative,"[36.29164025, -94.11796975]"
12799,negative,"[35.87658269, -78.79254351]"
12801,negative,"[41.45847861, -81.86764536]"
12822,negative,"[41.97367122, -87.89700781]"
12836,negative,"[35.17267919, -89.77001941]"
12837,negative,"[35.17282894, -89.76988366]"
12839,negative,"[35.17266822, -89.76993377]"
12840,negative,"[35.1728241, -89.76989935]"
12841,negative,"[35.17263842, -89.769988]"
12845,negative,"[35.17279513, -89.76980671]"
12930,negative,"[41.97417744, -87.9004223]"
12960,positive,"[39.57991628, -105.94147157]"
12987,negative,"[31.93684422, -102.20753682]"
12989,negative,"[32.90431463, -97.03489789]"
13003,neutral,"[34.02153389, -118.45231518]"
13004,positive,"[33.66642719, -117.88328444]"
13048,negative,"[35.46005368, -80.68267946]"
13055,negative,"[32.90425138, -97.02805207]"
13082,negative,"[34.0213466, -118.45229268]"
13115,negative,"[40.68625909, -74.17970876]"
13129,negative,"[39.60778027, -105.95470209]"
13145,neutral,"[39.91337753, -75.3408263]"
13148,negative,"[34.02389944, -118.45541773]"
13155,negative,"[33.43417698, -111.99680158]"
13157,neutral,"[30.441566, -84.281745]"
13163,neutral,"[39.91370182, -75.3405344]"
13183,negative,"[34.09822952, -118.34307851]"
13184,positive,"[41.97629096, -87.89888444]"
13189,negative,"[52.51012486, -2.98098622]"
13192,negative,"[52.51012488, -2.98098624]"
13195,negative,"[28.35144756, -81.54358392]"
13196,negative,"[52.51012533, -2.98099904]"
13197,negative,"[32.78951797, -96.79891462]"
13202,negative,"[39.60813937, -105.9548521]"
13214,neutral,"[10.42269832, -75.54540857]"
13221,negative,"[34.10971017, -118.32188864]"
13261,negative,"[34.10909961, -118.32361693]"
13266,negative,"[52.51022081, -2.98091961]"
13301,negative,"[33.43064352, -112.04521474]"
13304,negative,"[37.93712278, -107.81800496]"
13343,negative,"[41.97326595, -87.90025691]"
13347,negative,"[37.77414482, -122.43628588]"
13355,negative,"[37.93644673, -107.81832713]"
13356,negative,"[37.93609081, -107.81826687]"
13368,negative,"[37.93885695, -107.82069276]"
13371,neutral,"[37.93882337, -107.82065521]"
13373,negative,"[37.93663309, -107.81820588]"
13403,negative,"[44.98157837, -93.23592187]"
13409,negative,"[33.9424707, -118.4066671]"
13416,negative,"[33.9424834, -118.4066885]"
13426,negative,"[33.9424824, -118.4066757]"
13430,negative,"[51.44284934, -0.13973305]"
13432,negative,"[35.09721018, -89.89624696]"
13436,negative,"[33.9424793, -118.4066936]"
13438,negative,"[32.79397552, -96.80477419]"
13452,negative,"[32.79401294, -96.80478711]"
13484,negative,"[51.44283789, -0.13974112]"
13493,negative,"[33.55192892, -112.07392397]"
13513,negative,"[42.205996, -83.35487329]"
13518,negative,"[47.62581201, -122.3501506]"
13527,negative,"[25.8058716, -80.1255332]"
13533,neutral,"[27.69523415, -97.34856142]"
13555,negative,"[27.69540747, -97.34836874]"
13557,negative,"[51.44275382, -0.13962939]"
13576,positive,"[40.62967208, -73.90433402]"
13580,neutral,"[25.79729334, -80.28082058]"
13696,negative,"[33.40901961, -111.90976239]"
13721,neutral,"[33.5333555, -112.1827159]"
13766,positive,"[35.2376587, -80.92256446]"
13781,negative,"[40.67072447, -73.97727422]"
13785,positive,"[24.55401318, -81.80300774]"
13790,positive,"[33.94207019, -118.39427775]"
13794,negative,"[30.0555099, -95.165959]"
13810,negative,"[43.6950263, -79.3457844]"
13814,negative,"[21.32879526, -157.91846558]"
13835,negative,"[25.7977857, -80.2809721]"
13847,neutral,"[30.2772503, -81.38732586]"
13848,negative,"[32.89840957, -97.04456259]"
13875,negative,"[32.89873575, -97.04452633]"
13884,positive,"[30.33730037, -97.74637026]"
13909,negative,"[39.85437802, -104.67127565]"
13937,negative,"[40.64859599, -73.79426922]"
13958,negative,"[25.79939784, -80.27038889]"
14011,neutral,"[35.23776431, -80.92233988]"
14012,negative,"[32.89772724, -97.03561645]"
14025,positive,"[41.9774863, -87.90414419]"
14027,negative,"[25.8058675, -80.1260541]"
14029,negative,"[25.8058666, -80.126062]"
14051,negative,"[25.8058656, -80.1260481]"
14055,negative,"[35.23770686, -80.92243302]"
14070,positive,"[33.93871373, -118.40746172]"
14110,negative,"[34.02109254, -118.50287086]"
14129,negative,"[35.20493157, -80.92540817]"
14153,negative,"[34.02148779, -118.50289643]"
14184,negative,"[40.64931132, -73.79263138]"
14202,negative,"[40.64935461, -73.79198785]"
14255,negative,"[35.2176668, -80.9426912]"
14288,negative,"[32.9272165, -97.0396313]"
14293,negative,"[38.83598483, -77.10864801]"
14337,negative,"[40.46694635, -82.64579149]"
14365,negative,"[40.65062011, -73.79171323]"
14374,positive,"[35.87912533, -78.79162128]"
14381,negative,"[40.64824535, -73.80141955]"
14388,negative,"[32.9760867, -96.53332214]"
14391,positive,"[25.79101279, -80.28861743]"
14417,negative,"[15.1659317, 120.5830548]"
14420,negative,"[38.85482856, -77.04128223]"
14447,negative,"[47.24879409, -122.43874458]"
14481,positive,"[40.6474324, -73.7936881]"
14483,negative,"[32.97609561, -96.53349238]"
14490,positive,"[40.68621427, -74.1793971]"
14511,positive,"[44.26313964, -69.78197616]"
14524,negative,"[40.80718573, -73.95477259]"
14525,negative,"[38.5369071, -106.9349375]"
14528,negative,"[38.538038, -106.9370467]"
14555,negative,"[33.64199395, -84.44238523]"
14561,negative,"[32.90771571, -97.04233322]"
14577,negative,"[33.93939612, -118.38973148]"
14596,negative,"[35.22534456, -106.57241352]"
14612,negative,"[40.46692522, -82.64567078]"
14624,negative,"[32.9070889, -97.03785947]"
14625,positive,"[40.64946781, -73.76624703]"
